County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Crawford,02/03/2021,0,0.4,130,84629,0,0.51,153.61,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Montgomery,10/28/2020,1,0.4,897,830915,0.12,0.05,107.95,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Beaver,07/04/2020,0,0.1,80,163929,0,0.09,48.8,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Cumberland,07/13/2020,1,0.4,67,253370,0.39,0.17,26.44,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Cumberland,08/21/2020,0,0.1,71,253370,0,0.06,28.02,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Beaver,12/22/2020,4,3.3,246,163929,2.44,2,150.06,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Somerset,01/16/2021,1,1.7,157,73447,1.36,2.33,213.76,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Beaver,12/09/2020,9,3.7,201,163929,5.49,2.27,122.61,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Pennsylvania,04/18/2020,148,127.6,1750,12801989,1.16,1,13.67,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,04/23/2020,144,147.9,2476,12801989,1.12,1.15,19.34,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
York,01/09/2021,8,6,548,449058,1.78,1.34,122.03,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Berks,03/09/2021,0,0.6,911,421164,0,0.14,216.31,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Centre,02/04/2021,0,0.7,200,162385,0,0.44,123.16,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Montgomery,07/02/2020,1,2.4,836,830915,0.12,0.29,100.61,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Cumberland,10/01/2020,0,0,76,253370,0,0,30,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Somerset,12/10/2020,2,1.7,38,73447,2.72,2.33,51.74,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Cumberland,07/27/2020,0,0,69,253370,0,0,27.23,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Perry,03/16/2021,0,0.1,88,46272,0,0.31,190.18,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Beaver,12/10/2020,5,3.6,206,163929,3.05,2.18,125.66,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Cumberland,01/26/2021,1,3.1,443,253370,0.39,1.24,174.84,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
York,09/30/2020,2,2.1,175,449058,0.45,0.48,38.97,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
York,06/28/2020,2,1.4,54,449058,0.45,0.32,12.03,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Beaver,08/23/2020,0,0.1,98,163929,0,0.09,59.78,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Berks,02/18/2021,2,1.9,892,421164,0.47,0.44,211.79,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Centre,02/21/2021,1,0.1,210,162385,0.62,0.09,129.32,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Cameron,04/22/2021,0,0,7,4447,0,0,157.41,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
