Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Luzerne,11/09/2020,136,88.1,6391,317417,42.8,27.8,2013.4,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Northampton,06/11/2020,16,11.3,3240,305285,5.2,3.7,1061.3,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Warren,11/13/2020,8,3.3,114,39191,20.4,8.4,290.9,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Beaver,07/31/2020,6,16.3,1237,163929,3.7,9.9,754.6,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Fayette,03/10/2021,33,18.1,10539,129274,25.5,14,8152.5,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Schuylkill,09/17/2020,4,3.7,1076,141359,2.8,2.6,761.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Fulton,01/18/2021,9,8.4,941,14530,61.9,58,6476.3,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Adams,04/14/2020,1,4.1,65,103009,1,4,63.1,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Mifflin,06/24/2020,0,0,65,46138,0,0,140.9,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Dauphin,09/24/2020,9,14.1,3769,278299,3.2,5.1,1354.3,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Venango,04/03/2020,0,0.7,5,50668,0,1.4,9.9,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Montour,11/16/2020,11,4.1,380,18230,60.3,22.7,2084.5,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Bucks,11/25/2020,453,317.1,16411,628270,72.1,50.5,2612.1,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Blair,01/30/2021,33,39.1,9992,121829,27.1,32.1,8201.7,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Bucks,02/08/2021,183,199.4,41844,628270,29.1,31.7,6660.2,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Bucks,11/29/2020,284,328.9,17752,628270,45.2,52.3,2825.5,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Warren,09/05/2020,1,1.4,41,39191,2.6,3.6,104.6,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Juniata,10/23/2020,3,2.9,232,24763,12.1,11.5,936.9,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Jefferson,05/04/2020,0,0.3,7,43425,0,0.7,16.1,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Greene,10/20/2020,2,1.9,231,36233,5.5,5.1,637.5,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Bucks,11/10/2020,238,164.7,11976,628270,37.9,26.2,1906.2,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Wyoming,09/21/2020,0,0,77,26794,0,0,287.4,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Perry,10/19/2020,4,7,339,46272,8.6,15.1,732.6,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Mercer,12/18/2020,127,115.6,5153,109424,116.1,105.6,4709.2,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Susquehanna,08/17/2020,5,1.7,228,40328,12.4,4.3,565.4,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Armstrong,09/23/2020,1,3.6,432,64735,1.5,5.5,667.3,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Dauphin,10/02/2020,19,20.1,3927,278299,6.8,7.2,1411.1,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Warren,09/11/2020,0,0.7,45,39191,0,1.8,114.8,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Montgomery,04/21/2020,150,117.9,3411,830915,18.1,14.2,410.5,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Berks,06/12/2020,19,15.3,4301,421164,4.5,3.6,1021.2,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Huntingdon,11/11/2020,46,19.6,1293,45144,101.9,43.4,2864.2,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Indiana,11/30/2020,56,54.3,2640,84073,66.6,64.6,3140.1,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Mifflin,05/18/2020,0,0.6,58,46138,0,1.2,125.7,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Armstrong,03/02/2021,2,5.7,4910,64735,3.1,8.8,7584.8,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Schuylkill,04/16/2020,9,11.6,249,141359,6.4,8.2,176.1,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Armstrong,04/03/2021,11,15.7,5242,64735,17,24.3,8097.6,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Lehigh,09/05/2020,22,13.4,5323,369318,6,3.6,1441.3,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Montgomery,03/10/2021,133,146,55557,830915,16,17.6,6686.2,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Crawford,12/04/2020,86,81.4,2405,84629,101.6,96.2,2841.8,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Fayette,08/14/2020,4,18.4,625,129274,3.1,14.3,483.5,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Beaver,05/09/2020,10,8.1,492,163929,6.1,5,300.1,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Beaver,07/09/2020,12,15.6,821,163929,7.3,9.5,500.8,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Beaver,06/20/2020,2,1.6,632,163929,1.2,1,385.5,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Allegheny,03/26/2020,25,18.9,161,1216045,2.1,1.6,13.2,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Montgomery,06/13/2020,32,44.9,8025,830915,3.9,5.4,965.8,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Snyder,09/23/2020,3,5.6,295,40372,7.4,13.8,730.7,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Bucks,10/08/2020,67,37,9287,628270,10.7,5.9,1478.2,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Schuylkill,10/05/2020,17,16.9,1316,141359,12,11.9,931,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Carbon,06/29/2020,0,1.6,280,64182,0,2.4,436.3,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Fayette,07/29/2020,13,10.4,373,129274,10.1,8.1,288.5,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Susquehanna,07/08/2020,0,0.9,192,40328,0,2.1,476.1,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Pike,08/13/2020,0,0.1,533,55809,0,0.3,955,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Westmoreland,05/04/2020,1,2.9,406,348899,0.3,0.8,116.4,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Perry,11/11/2020,17,8.3,468,46272,36.7,17.9,1011.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Juniata,01/24/2021,3,8.4,1657,24763,12.1,34,6691.4,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Dauphin,07/04/2020,18,35.7,2199,278299,6.5,12.8,790.2,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Monroe,05/23/2020,2,6.6,1309,170271,1.2,3.9,768.8,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Fulton,03/26/2021,2,2.3,1181,14530,13.8,15.7,8128,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Fulton,03/20/2021,0,1.1,1165,14530,0,7.9,8017.9,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Westmoreland,05/26/2020,1,2.4,448,348899,0.3,0.7,128.4,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Columbia,09/28/2020,10,4.6,914,64964,15.4,7,1406.9,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Susquehanna,03/22/2021,8,9.4,1859,40328,19.8,23.4,4609.7,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Washington,10/29/2020,75,40.1,2105,206865,36.3,19.4,1017.6,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Berks,11/22/2020,208,169.1,12760,421164,49.4,40.2,3029.7,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Fayette,12/07/2020,171,129.4,3206,129274,132.3,100.1,2480,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Armstrong,09/19/2020,2,4.4,419,64735,3.1,6.8,647.3,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Tioga,11/10/2020,26,17.1,420,40591,64.1,42.2,1034.7,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Adams,07/08/2020,6,3.3,371,103009,5.8,3.2,360.2,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Delaware,03/22/2020,24,9,70,566747,4.2,1.6,12.4,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Blair,09/03/2020,16,7.6,494,121829,13.1,6.2,405.5,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Montgomery,02/12/2021,193,219.3,51409,830915,23.2,26.4,6187,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Fayette,02/09/2021,29,30.6,9853,129274,22.4,23.6,7621.8,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Montgomery,05/26/2020,143,85.1,6905,830915,17.2,10.2,831,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Fulton,01/23/2021,3,8.9,986,14530,20.6,61,6786,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Wyoming,08/24/2020,0,0.3,67,26794,0,1.1,250.1,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Bradford,07/17/2020,1,0.4,73,60323,1.7,0.7,121,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Elk,07/03/2020,3,1,22,29910,10,3.3,73.6,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Berks,09/06/2020,31,36.7,6318,421164,7.4,8.7,1500.1,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Delaware,06/06/2020,21,31.1,6767,566747,3.7,5.5,1194,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Beaver,04/20/2020,0,20.3,299,163929,0,12.4,182.4,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Mercer,02/17/2021,10,19,7948,109424,9.1,17.4,7263.5,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Huntingdon,05/08/2020,0,10,119,45144,0,22.2,263.6,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Columbia,09/29/2020,12,5.7,926,64964,18.5,8.8,1425.4,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Jefferson,02/09/2021,9,13.6,2684,43425,20.7,31.3,6180.8,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Crawford,11/11/2020,68,30.6,893,84629,80.4,36.1,1055.2,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Beaver,03/25/2020,5,1.7,14,163929,3.1,1,8.5,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Montour,11/08/2020,7,4.3,347,18230,38.4,23.5,1903.5,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Erie,05/14/2020,2,2.1,136,269728,0.7,0.8,50.4,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Jefferson,12/13/2020,39,45,1465,43425,89.8,103.6,3373.6,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Mercer,02/10/2021,19,22,7815,109424,17.4,20.1,7141.9,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Franklin,04/30/2020,25,20.6,310,155027,16.1,13.3,200,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Berks,07/19/2020,26,21.6,4854,421164,6.2,5.1,1152.5,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Elk,07/29/2020,0,0.7,44,29910,0,2.4,147.1,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Luzerne,11/02/2020,53,65.6,5774,317417,16.7,20.7,1819.1,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Lancaster,04/09/2020,45,59.6,662,545724,8.2,10.9,121.3,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Blair,03/22/2021,21,14.9,10985,121829,17.2,12.2,9016.7,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Erie,06/13/2020,8,13.7,469,269728,3,5.1,173.9,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Armstrong,11/29/2020,19,40,1857,64735,29.4,61.8,2868.6,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Armstrong,04/18/2021,9,22.1,5528,64735,13.9,34.2,8539.4,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Bradford,05/14/2020,1,0.6,42,60323,1.7,0.9,69.6,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Bucks,03/16/2020,3,1.1,8,628270,0.5,0.2,1.3,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Pike,04/10/2020,20,16.3,218,55809,35.8,29.2,390.6,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Bucks,10/29/2020,84,70.7,10395,628270,13.4,11.3,1654.5,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Armstrong,11/14/2020,32,40,1238,64735,49.4,61.8,1912.4,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Huntingdon,12/04/2020,51,31.4,1939,45144,113,69.6,4295.1,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Juniata,01/05/2021,21,15.7,1456,24763,84.8,63.5,5879.7,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Philadelphia,05/18/2020,140,178.7,16173,1584064,8.8,11.3,1021,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Huntingdon,01/12/2021,29,38.1,3519,45144,64.2,84.5,7795.1,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Allegheny,04/17/2020,61,24,1024,1216045,5,2,84.2,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Northumberland,10/11/2020,10,20,1307,90843,11,22,1438.7,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Chester,05/16/2020,16,36.6,2156,524989,3,7,410.7,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Jefferson,05/08/2020,0,0.1,8,43425,0,0.3,18.4,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Pike,03/01/2021,8,12,2547,55809,14.3,21.5,4563.8,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Blair,03/26/2021,22,21.7,11096,121829,18.1,17.8,9107.8,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Mercer,01/08/2021,66,64.3,6630,109424,60.3,58.7,6059,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Jefferson,12/31/2020,15,19.1,1922,43425,34.5,44.1,4426,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Wyoming,08/04/2020,0,0.1,60,26794,0,0.5,223.9,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Clinton,12/07/2020,56,38.9,1072,38632,145,100.6,2774.9,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Westmoreland,09/29/2020,21,21.9,2306,348899,6,6.3,660.9,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Wyoming,08/10/2020,0,0.4,63,26794,0,1.6,235.1,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Mifflin,10/21/2020,10,7.1,349,46138,21.7,15.5,756.4,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Monroe,04/28/2020,15,15.1,1117,170271,8.8,8.9,656,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Philadelphia,03/29/2020,151,129.7,1041,1584064,9.5,8.2,65.7,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Fayette,07/14/2020,8,8.3,224,129274,6.2,6.4,173.3,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Bradford,07/12/2020,0,0.3,70,60323,0,0.5,116,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Bucks,12/27/2020,201,319,29218,628270,32,50.8,4650.5,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Fayette,09/22/2020,3,3.3,787,129274,2.3,2.5,608.8,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Dauphin,06/30/2020,17,27.9,2068,278299,6.1,10,743.1,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Lycoming,10/21/2020,8,7.3,933,113299,7.1,6.4,823.5,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Susquehanna,04/12/2020,5,3.4,31,40328,12.4,8.5,76.9,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Union,01/03/2021,21,27.9,2910,44923,46.7,62,6477.8,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Tioga,10/13/2020,2,2.9,132,40591,4.9,7,325.2,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Wyoming,08/30/2020,1,0.3,69,26794,3.7,1.1,257.5,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Mercer,01/20/2021,46,41.4,7205,109424,42,37.9,6584.5,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Juniata,02/04/2021,5,6,1728,24763,20.2,24.2,6978.2,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Montgomery,04/04/2020,155,96.9,1186,830915,18.7,11.7,142.7,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Wyoming,08/11/2020,0,0.4,63,26794,0,1.6,235.1,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Erie,10/15/2020,9,15.9,1857,269728,3.3,5.9,688.5,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Jefferson,04/30/2020,0,0.1,5,43425,0,0.3,11.5,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Dauphin,09/07/2020,13,18.1,3485,278299,4.7,6.5,1252.3,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Butler,11/06/2020,128,55.4,2256,187853,68.1,29.5,1200.9,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Fayette,12/08/2020,62,127.6,3268,129274,48,98.7,2528,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Carbon,09/05/2020,1,1.1,434,64182,1.6,1.8,676.2,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Adams,07/18/2020,1,2.6,418,103009,1,2.5,405.8,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Berks,07/07/2020,19,10.1,4631,421164,4.5,2.4,1099.6,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Susquehanna,12/23/2020,29,13.4,945,40328,71.9,33.3,2343.3,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Jefferson,01/25/2021,16,19.6,2465,43425,36.8,45.1,5676.5,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Bradford,10/29/2020,60,31.4,862,60323,99.5,52.1,1429,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Cumberland,08/19/2020,17,10.1,1432,253370,6.7,4,565.2,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Luzerne,04/09/2020,96,121.6,1343,317417,30.2,38.3,423.1,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Columbia,05/02/2020,2,4.1,301,64964,3.1,6.4,463.3,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Clinton,10/11/2020,2,1.6,235,38632,5.2,4.1,608.3,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Susquehanna,01/31/2021,3,12.4,1528,40328,7.4,30.8,3788.9,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Clearfield,05/20/2020,1,0.3,38,79255,1.3,0.4,47.9,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Lehigh,07/28/2020,39,25.6,4794,369318,10.6,6.9,1298.1,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Berks,05/18/2020,11,41.1,3739,421164,2.6,9.8,887.8,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Washington,06/06/2020,1,1.1,153,206865,0.5,0.6,74,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Chester,07/22/2020,52,46.6,4517,524989,9.9,8.9,860.4,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Clearfield,09/19/2020,3,3.9,321,79255,3.8,4.9,405,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Columbia,08/12/2020,2,1.7,487,64964,3.1,2.6,749.6,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Franklin,04/03/2020,2,2.9,27,155027,1.3,1.8,17.4,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Cambria,04/15/2020,0,0.6,14,130192,0,0.4,10.8,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Lycoming,05/18/2020,1,2.3,156,113299,0.9,2,137.7,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Fayette,03/22/2021,25,33.1,10956,129274,19.3,25.6,8475,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Clearfield,08/21/2020,2,2.9,217,79255,2.5,3.6,273.8,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Tioga,12/17/2020,25,30.3,1739,40591,61.6,74.6,4284.2,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Pike,02/14/2021,10,14.3,2381,55809,17.9,25.6,4266.3,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Clearfield,10/08/2020,2,2.1,376,79255,2.5,2.7,474.4,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Blair,12/24/2020,48,102.1,7493,121829,39.4,83.8,6150.4,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Cumberland,08/15/2020,7,11.7,1392,253370,2.8,4.6,549.4,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Susquehanna,11/28/2020,7,9.7,633,40328,17.4,24.1,1569.6,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Chester,03/22/2020,8,4.4,34,524989,1.5,0.8,6.5,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Chester,04/05/2020,37,23.3,320,524989,7,4.4,61,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Indiana,11/07/2020,28,33.7,1469,84073,33.3,40.1,1747.3,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Cumberland,06/28/2020,7,7.9,860,253370,2.8,3.1,339.4,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Indiana,12/17/2020,51,48.1,3575,84073,60.7,57.3,4252.3,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Snyder,11/01/2020,4,6.1,536,40372,9.9,15.2,1327.7,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Fayette,03/01/2021,33,25.1,10356,129274,25.5,19.4,8010.9,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Blair,07/24/2020,9,6.4,175,121829,7.4,5.3,143.6,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Armstrong,01/17/2021,8,40,4347,64735,12.4,61.8,6715.1,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Union,04/24/2020,0,0.4,24,44923,0,1,53.4,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Fayette,12/01/2020,75,71.7,2375,129274,58,55.5,1837.2,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Carbon,10/13/2020,3,5.3,526,64182,4.7,8.2,819.5,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Adams,06/10/2020,2,2.6,285,103009,1.9,2.5,276.7,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Bucks,10/28/2020,103,67,10311,628270,16.4,10.7,1641.2,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Fayette,09/10/2020,5,3.6,744,129274,3.9,2.8,575.5,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Armstrong,09/14/2020,3,5.1,393,64735,4.6,7.9,607.1,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Fulton,01/12/2021,4,12.3,886,14530,27.5,84.6,6097.7,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Cumberland,06/07/2020,3,5.4,685,253370,1.2,2.1,270.4,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Franklin,04/20/2021,37,44.9,14399,155027,23.9,28.9,9288.1,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Huntingdon,03/18/2021,20,7.9,4482,45144,44.3,17.4,9928.2,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Wayne,11/05/2020,7,2.6,317,51361,13.6,5,617.2,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Jefferson,11/23/2020,18,23.6,633,43425,41.5,54.3,1457.7,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Dauphin,06/01/2020,56,31.9,1370,278299,20.1,11.4,492.3,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Delaware,07/06/2020,45,27.7,7496,566747,7.9,4.9,1322.6,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Erie,09/10/2020,5,5.9,1436,269728,1.9,2.2,532.4,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Lancaster,04/24/2020,48,54.1,1500,545724,8.8,9.9,274.9,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Columbia,09/21/2020,3,2.9,882,64964,4.6,4.4,1357.7,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Centre,08/16/2020,1,3.3,405,162385,0.6,2,249.4,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Fayette,09/23/2020,5,3.4,792,129274,3.9,2.7,612.7,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Berks,12/12/2020,233,324.4,18079,421164,55.3,77,4292.6,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
