Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Carbon,02/17/2021,23,17.3,4787,64182,35.8,26.9,7458.5,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Washington,01/29/2021,90,84,12557,206865,43.5,40.6,6070.1,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Wyoming,03/02/2021,1,3.1,1175,26794,3.7,11.7,4385.3,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Perry,04/17/2021,5,17,3494,46272,10.8,36.7,7551,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Mifflin,04/22/2021,13,12.4,5032,46138,28.2,26.9,10906.4,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Beaver,10/26/2020,12,11,2256,163929,7.3,6.7,1376.2,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Columbia,11/16/2020,48,16.1,1271,64964,73.9,24.8,1956.5,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Lackawanna,08/27/2020,18,6.9,2045,209674,8.6,3.3,975.3,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Westmoreland,11/12/2020,149,125.6,5815,348899,42.7,36,1666.7,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Perry,04/05/2021,10,13.6,3304,46272,21.6,29.3,7140.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Mifflin,11/12/2020,47,37.7,833,46138,101.9,81.7,1805.5,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Snyder,09/21/2020,5,7.4,286,40372,12.4,18.4,708.4,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Beaver,09/10/2020,25,8.6,1777,163929,15.3,5.2,1084,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Cambria,01/29/2021,42,43.3,10787,130192,32.3,33.2,8285.5,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Snyder,09/08/2020,4,3.6,201,40372,9.9,8.8,497.9,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Butler,03/28/2021,37,54.4,15147,187853,19.7,29,8063.2,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Lackawanna,08/18/2020,3,3.3,1986,209674,1.4,1.6,947.2,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Wyoming,02/22/2021,3,3.9,1150,26794,11.2,14.4,4292,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Butler,01/01/2021,143,145.3,9670,187853,76.1,77.3,5147.6,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Beaver,12/27/2020,14,86.4,7987,163929,8.5,52.7,4872.2,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Greene,03/26/2021,11,7.1,2817,36233,30.4,19.7,7774.7,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Greene,06/24/2020,0,0.9,40,36233,0,2.4,110.4,42059,-80.22943817,39.85480393,POINT (-80.22943817 39.85480393)
Lackawanna,07/27/2020,9,6.7,1882,209674,4.3,3.2,897.6,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Westmoreland,01/18/2021,200,167.4,23518,348899,57.3,48,6740.6,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Mercer,08/14/2020,8,10.1,496,109424,7.3,9.3,453.3,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Warren,12/31/2020,55,33.9,1545,39191,140.3,86.4,3942.2,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Cumberland,09/12/2020,11,10.9,1699,253370,4.3,4.3,670.6,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Cumberland,01/21/2021,83,87.4,13045,253370,32.8,34.5,5148.6,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Beaver,10/28/2020,34,14.9,2305,163929,20.7,9.1,1406.1,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Lycoming,03/14/2021,10,22.4,9709,113299,8.8,19.8,8569.4,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Lackawanna,07/05/2020,2,6.3,1746,209674,1,3,832.7,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Lackawanna,11/16/2020,62,41.9,4492,209674,29.6,20,2142.4,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Lackawanna,08/11/2020,2,5.3,1963,209674,1,2.5,936.2,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Lehigh,02/20/2021,51,75.1,30297,369318,13.8,20.3,8203.5,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Mercer,05/09/2020,0,1,75,109424,0,0.9,68.5,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Butler,02/17/2021,45,33.3,13595,187853,24,17.7,7237,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Union,03/29/2021,5,8.7,5412,44923,11.1,19.4,12047.3,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Wyoming,03/04/2021,1,3.7,1187,26794,3.7,13.9,4430.1,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Bradford,03/12/2021,10,8.6,4508,60323,16.6,14.2,7473.1,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Crawford,01/11/2021,27,47.1,5449,84629,31.9,55.7,6438.7,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Luzerne,06/01/2020,13,12.9,2768,317417,4.1,4.1,872,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Susquehanna,09/29/2020,4,0.9,306,40328,9.9,2.1,758.8,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Butler,12/19/2020,123,167.9,7735,187853,65.5,89.4,4117.6,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Beaver,11/26/2020,122,89.6,3799,163929,74.4,54.6,2317.5,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Cambria,04/18/2021,34,58.3,13144,130192,26.1,44.8,10095.9,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Schuylkill,07/30/2020,5,6.6,894,141359,3.5,4.6,632.4,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Philadelphia,04/10/2021,370,615.3,131590,1584064,23.4,38.8,8307.1,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Union,03/16/2021,7,7,5305,44923,15.6,15.6,11809.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Clinton,03/04/2021,16,11,2872,38632,41.4,28.5,7434.3,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Franklin,11/17/2020,171,90.7,3440,155027,110.3,58.5,2219,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Lehigh,02/14/2021,35,104.9,29806,369318,9.5,28.4,8070.6,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Warren,12/22/2020,30,51.1,1260,39191,76.5,130.5,3215,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Luzerne,11/20/2020,215,177.3,8226,317417,67.7,55.9,2591.5,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
